おおが	大翔
かいん	海音
がい	亥
けんと	絢登
けんと	絢飛
こうが	空雅
しょあ	翔空
じおん	士恩
じおん	志温
じおん	志穏
じおん	志音
じおん	紫音
じおん	慈恩
じおん	慈温
じおん	慈穏
じおん	時音
じょう	允
じょう	丈
じょう	情
じょう	穣
じょう	譲
じょう	澄
じょう	成
じょう	星
じょう	晴
じょう	誠
じょう	青
じょう	朝
じょう	佑
じょう	晟
しょうあ	星空
しょうあ	翔亜
しょうあ	翔愛
しょうあ	翔空
しょうあ	翔明
せいあ	星空
せいあ	青空
せいあ	静空
せいや	成弥
せいや	晴弥
せいや	青空
せいん	晴心
せかい	宇宙
せかい	成海
そうる	心
そうる	奏瑠
たいが	虎
だいや	太陽
だいや	大陽
とむ	叶夢
とむ	富
ないき	夢希
はんじ	帆志
ひゅうが	龍
ふうが	舞
みんと	明飛
らいあ	來空
らいが	愛翔
らいが	雷華
らいと	輝
らいと	月
らいと	光
らいと	星
らいと	来翔
りひと	梨仁
りひと	理仁
りひと	莉仁
りひと	莉都
るうく	瑠空
るきあ	流愛
るきあ	琉愛
るきあ	瑠空
れお	獅
れお	伶生
れお	嶺緒
れお	怜生
れお	玲生
れお	零
れお	麗愛
れお	麗央
れお	麗生
れお	蓮音
れお	澪音
れおん	雨音
れおん	獅音
れおん	蓮音
れおん	澪音
れおん	莉央
ろい	路易

